날짜,종목명,주문,매매가격(원),수량(주),사유,수익률
20170412,미동앤씨네마(A161570),매도,9070,761,날짜지나 매도 : 20170410 ~ 20170412 설정가격매도,0.5543237250554324%
20170413,KT뮤직(A043610),매수,6700,1040.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170413,바이오로그디바이스(A208710),매수,3785,1841,매수로직 매수 - (매수가) 우선순위 : 2,-
20170413,제룡산업(A147830),매수,10300,676,매수로직 매수 - (매수가) 우선순위 : 3,-
20170414,제룡산업(A147830),매도,11850,676.0,목표가매도,15.048543689320388%
20170417,제룡산업(A147830),매수,11450,620,매수로직 매수 - (매수가) 우선순위 : 1,-
20170417,KT뮤직(A043610),매도,6640,1040,날짜지나 매도 : 20170413 ~ 20170417 설정가격매도,-0.8955223880597015%
20170417,바이오로그디바이스(A208710),매도,3580,1841.0,날짜지나 매도 : 20170413 ~ 20170417 설정가격매도,-5.416116248348745%
20170418,안랩(A053800),매수,105100,68,매수로직 매수 - (매수가) 우선순위 : 1,-
20170419,제룡산업(A147830),매도,11500,620,날짜지나 매도 : 20170417 ~ 20170419 설정가격매도,0.43668122270742354%
20170420,인콘(A083640),매수,1094,6514.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170420,코위버(A056360),매수,7540,946.0,매수로직 매수 - (매수가) 우선순위 : 2,-
20170420,안랩(A053800),매도,108200,68,날짜지나 매도 : 20170418 ~ 20170420 설정가격매도,2.949571836346337%
20170421,상아프론테크(A089980),매수,12650,564.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170424,인콘(A083640),매도,1175,97.0,날짜지나 매도 : 20170420 ~ 20170424 설정가격매도,7.40402193784278%
20170424,코위버(A056360),매도,7060,946,날짜지나 매도 : 20170420 ~ 20170424 설정가격매도,-6.36604774535809%
20170425,인콘(A083640),매도,995,6417.0,날짜지나 매도 : 20170420 ~ 20170425 설정가격매도,-9.049360146252285%
20170425,상아프론테크(A089980),매도,13091,564.0,날짜지나 매도 : 20170421 ~ 20170425 설정가격매도,3.4861660079051386%
20170426,화이브라더스(A204630),매수,5680,1217,매수로직 매수 - (매수가) 우선순위 : 2,-
20170427,아진엑스텍(A059120),매수,10053,684.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170427,아이리버(A060570),매수,5532,1239.0,매수로직 매수 - (매수가) 우선순위 : 2,-
20170428,화이브라더스(A204630),매도,5670,26.0,날짜지나 매도 : 20170426 ~ 20170428 설정가격매도,-0.17605633802816903%
20170502,화이브라더스(A204630),매도,5638,1191.0,날짜지나 매도 : 20170426 ~ 20170502 설정가격매도,-0.7394366197183099%
20170502,아진엑스텍(A059120),매도,10450,684,날짜지나 매도 : 20170427 ~ 20170502 설정가격매도,3.949069929374316%
20170502,아이리버(A060570),매도,6140,1239,날짜지나 매도 : 20170427 ~ 20170502 설정가격매도,10.99060014461316%
20170504,크린앤사이언스(A045520),매수,10100,713.0,매수로직 매수 - (매수가) 우선순위 : 1,-
