날짜,종목명,주문,매매가격(원),수량(주),사유,수익률
20100422,백금T&A(A046310),매수,2490,1236,매수로직 매수 - (매수가)  우선순위 : 1,-
20100422,CJ씨푸드(A011150),매도,3290,971,날짜지나 매도 (전일종가) : 2010/04/20 ~ 2010/04/22 ,9.84974958263773%
20100423,대호에이엘(A069460),매수,3315,921,매수로직 매수 - (매수가)  우선순위 : 1,-
20100423,서연전자(A012860),매도,2690,1176,날짜지나 매도 (전일종가) : 2010/04/21 ~ 2010/04/23 ,4.669260700389105%
20100426,스페코(A013810),매수,4295,693,매수로직 매수 - (매수가)  우선순위 : 1,-
20100426,백금T&A(A046310),매도,2503,1236,날짜지나 매도 (전일종가) : 2010/04/22 ~ 2010/04/26 ,0.5220883534136547%
20100427,대호에이엘(A069460),매도,3195,921,날짜지나 매도 (전일종가) : 2010/04/23 ~ 2010/04/27 ,-3.619909502262444%
20100427,스페코(A013810),매도,3435,693,손절가 매도,-20.023282887077997%
20100430,CJ씨푸드(A011150),매수,4305,667,매수로직 매수 - (매수가)  우선순위 : 1,-
20100503,넥슨지티(A041140),매수,8830,322,매수로직 매수 - (매수가)  우선순위 : 2,-
20100504,CJ씨푸드(A011150),매도,4100,667,날짜지나 매도 (전일종가) : 2010/04/30 ~ 2010/05/04 ,-4.761904761904762%
20100506,한솔PNS(A010420),매수,2605,1092,매수로직 매수 - (매수가)  우선순위 : 2,-
20100506,넥슨지티(A041140),매도,9000,322,날짜지나 매도 (전일종가) : 2010/05/03 ~ 2010/05/06 ,1.9252548131370328%
20100507,신성에프에이(A104120),매수,2955,972,매수로직 매수 - (매수가)  우선순위 : 1,-
20100507,신성이엔지(A104110),매수,2820,1018,매수로직 매수 - (매수가)  우선순위 : 2,-
20100510,한솔PNS(A010420),매도,2394,1092,날짜지나 매도 (전일종가) : 2010/05/06 ~ 2010/05/10 ,-8.099808061420346%
20100510,신성에프에이(A104120),매도,3705,972,목표가 시초가 매도,25.380710659898476%
20100511,한솔PNS(A010420),매수,2560,1171,매수로직 매수 - (매수가)  우선순위 : 1,-
20100511,신성이엔지(A104110),매도,2864,1018,날짜지나 매도 (전일종가) : 2010/05/07 ~ 2010/05/11 ,1.5602836879432624%
20100513,신성에프에이(A104120),매수,3460,862,매수로직 매수 - (매수가)  우선순위 : 1,-
20100513,신성이엔지(A104110),매수,2805,1064,매수로직 매수 - (매수가)  우선순위 : 2,-
20100513,한솔PNS(A010420),매도,2563,1171,날짜지나 매도 (전일종가) : 2010/05/11 ~ 2010/05/13 ,0.1171875%
20100517,신성에프에이(A104120),매도,3390,862,날짜지나 매도 (전일종가) : 2010/05/13 ~ 2010/05/17 ,-2.023121387283237%
20100517,신성이엔지(A104110),매도,2848,1064,날짜지나 매도 (전일종가) : 2010/05/13 ~ 2010/05/17 ,1.5329768270944741%
20100519,한솔로지스틱스(A009180),매수,2730,1097,매수로직 매수 - (매수가)  우선순위 : 1,-
20100519,한솔PNS(A010420),매수,2620,1143,매수로직 매수 - (매수가)  우선순위 : 2,-
20100519,국순당(A043650),매수,14200,211,매수로직 매수 - (매수가)  우선순위 : 3,-
20100524,한솔로지스틱스(A009180),매도,2344,1097,날짜지나 매도 (전일종가) : 2010/05/19 ~ 2010/05/24 ,-14.139194139194139%
20100524,한솔PNS(A010420),매도,2242,1143,날짜지나 매도 (전일종가) : 2010/05/19 ~ 2010/05/24 ,-14.427480916030536%
20100524,국순당(A043650),매도,12750,211,날짜지나 매도 (전일종가) : 2010/05/19 ~ 2010/05/24 ,-10.211267605633804%
20100525,한솔로지스틱스(A009180),매수,2550,1023,매수로직 매수 - (매수가)  우선순위 : 2,-
20100527,에스엠(A041510),매수,8820,298,매수로직 매수 - (매수가)  우선순위 : 1,-
20100527,SIMPAC(A009160),매수,4530,581,매수로직 매수 - (매수가)  우선순위 : 2,-
20100527,한솔로지스틱스(A009180),매도,2620,1023,날짜지나 매도 (전일종가) : 2010/05/25 ~ 2010/05/27 ,2.7450980392156863%
20100528,에스엠(A041510),매도,10150,298,목표가 매도,15.079365079365079%
20100531,SIMPAC(A009160),매도,4510,581,날짜지나 매도 (전일종가) : 2010/05/27 ~ 2010/05/31 ,-0.44150110375275936%
20100601,에스엠(A041510),매수,10100,272,매수로직 매수 - (매수가)  우선순위 : 1,-
20100601,APS홀딩스(A054620),매수,6730,408,매수로직 매수 - (매수가)  우선순위 : 2,-
20100601,국순당(A043650),매수,14750,186,매수로직 매수 - (매수가)  우선순위 : 3,-
20100604,에스엠(A041510),매도,11267,272,날짜지나 매도 (전일종가) : 2010/06/01 ~ 2010/06/04 ,11.554455445544555%
20100604,APS홀딩스(A054620),매도,6556,408,날짜지나 매도 (전일종가) : 2010/06/01 ~ 2010/06/04 ,-2.5854383358098065%
20100604,국순당(A043650),매도,16450,186,날짜지나 매도 (전일종가) : 2010/06/01 ~ 2010/06/04 ,11.525423728813559%
20100609,이랜텍(A054210),매수,7320,399,매수로직 매수 - (매수가)  우선순위 : 1,-
20100611,코데즈컴바인(A047770),매수,226325,12,매수로직 매수 - (시초가)  우선순위 : 1,-
20100611,에스엔유(A080000),매수,7200,391,매수로직 매수 - (매수가)  우선순위 : 2,-
20100611,이랜텍(A054210),매도,6733,399,날짜지나 매도 (전일종가) : 2010/06/09 ~ 2010/06/11 ,-8.019125683060109%
20100614,코데즈컴바인(A047770),매도,260300,12,목표가 매도,15.011598365182813%
20100616,신성이엔지(A104110),매수,2370,1237,매수로직 매수 - (매수가)  우선순위 : 1,-
20100616,에스엔유(A080000),매도,6976,391,날짜지나 매도 (전일종가) : 2010/06/11 ~ 2010/06/15 ,-3.111111111111111%
20100617,신성이엔지(A104110),매도,2725,1237,목표가 매도,14.978902953586498%
20100618,신성이엔지(A104110),매수,2685,1147,매수로직 매수 - (매수가)  우선순위 : 1,-
20100622,에스엠(A041510),매수,12050,258,매수로직 매수 - (매수가)  우선순위 : 1,-
